user_id,game_name,hours,purchase,play
151603712,The Elder Scrolls V Skyrim,273,1,1
151603712,Fallout 4,87,1,1
151603712,Spore,14.9,1,1
151603712,Fallout New Vegas,12.1,1,1
151603712,Left 4 Dead 2,8.9,1,1
151603712,HuniePop,8.5,1,1
151603712,Path of Exile,8.1,1,1
151603712,Poly Bridge,7.5,1,1
151603712,Left 4 Dead,3.3,1,1
151603712,Team Fortress 2,2.8,1,1
151603712,Tomb Raider,2.5,1,1
151603712,The Banner Saga,2,1,1
151603712,Dead Island Epidemic,1.4,1,1
151603712,BioShock Infinite,1.3,1,1
151603712,Dragon Age Origins - Ultimate Edition,1.3,1,1
151603712,SEGA Genesis & Mega Drive Classics,0.8,1,1
151603712,Grand Theft Auto IV,0.6,1,1
151603712,Realm of the Mad God,0.5,1,1
151603712,Marvel Heroes 2015,0.5,1,1
151603712,Dota 2,0.5,1,1
151603712,Robocraft,0.4,1,1
151603712,Jazzpunk,0.1,1,1
151603712,Alan Wake,0,1,0
151603712,BioShock 2,0,1,0
151603712,Fallen Earth,0,1,0
151603712,Fallout New Vegas Courier's Stash,0,1,0
151603712,Fallout New Vegas Dead Money,0,1,0
151603712,Fallout New Vegas Honest Hearts,0,1,0
151603712,Grand Theft Auto Episodes from Liberty City,0,1,0
151603712,Hitman Absolution,0,1,0
151603712,HuniePop Official Digital Art Collection,0,1,0
151603712,HuniePop Original Soundtrack,0,1,0
151603712,The Banner Saga - Mod Content,0,1,0
151603712,The Elder Scrolls V Skyrim - Hearthfire,0,1,0
187131847,Dota 2,2.3,1,1
59945701,Ultra Street Fighter IV,238,1,1
59945701,FINAL FANTASY XIII,84,1,1
59945701,The Elder Scrolls V Skyrim,58,1,1
59945701,Sid Meier's Civilization V,22,1,1
59945701,L.A. Noire,13.8,1,1
59945701,Company of Heroes Tales of Valor,10.2,1,1
59945701,7 Days to Die,7.8,1,1
59945701,Divekick,7,1,1
59945701,FINAL FANTASY VII,5.2,1,1
59945701,Killing Floor,3.4,1,1
59945701,Company of Heroes,3.2,1,1
59945701,Bastion,2.8,1,1
59945701,Undertale,2.6,1,1
59945701,Orcs Must Die!,0.7,1,1
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,0.5,1,1
59945701,Skullgirls,0.4,1,1
59945701,Assassin's Creed II,0.3,1,1
59945701,Company of Heroes Opposing Fronts,0.1,1,1
59945701,Team Fortress 2,0.1,1,1
59945701,Guilty Gear X2 #Reload,0,1,0
59945701,Left 4 Dead 2,0,1,0
59945701,Psychonauts,0,1,0
59945701,Cities in Motion 2,0,1,0
